HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
1EJX8GTJ    ,2015-10-20 10:00:52,2015-10-13 16:20:02,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,151010A0A0D2D2    10,  10  8,LF,58,X439,095200,ARHS36AC,00000000,1,XN,0,0,M505ZCL0    ,1,2,1,2015-10-20 10:35:18,7,161.680
1EJX8GPJ    ,2015-10-20 10:30:55,2015-10-13 18:19:48,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,151010A0A0D2D2    10,  10  8,LF,58,X435,182800,ARHS36AC,00000000,1,XN,0,0,M505X507    ,1,2,1,2015-10-20 11:05:16,7,160.185
1EJX8GMJ    ,2015-10-26 06:26:54,2015-10-13 18:22:45,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,151010A0A0D2D2    10,  10  8,LF,58,X435,053400,ARHS36AC,00000000,1,XN,0,0,M505X5R2    ,1,2,1,2015-10-26 06:58:46,13,300.069
1EJX8GLJ    ,2015-10-20 07:57:14,2015-10-13 17:37:21,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X43A,014901,ARHS36AC,00000000,1,XN,0,0,M504PVK3    ,1,2,1,2015-10-20 08:35:19,7,158.331
1EJX8ERJ    ,2015-10-20 10:41:27,2015-10-13 18:08:49,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X435,202801,ARHS36AC,00000000,1,XN,0,0,M5064T49    ,1,2,1,2015-10-20 11:05:16,7,160.544
1EJX8EPJ    ,2015-10-19 02:46:30,2015-10-13 16:17:08,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X43B,056400,ARHS36AC,00000000,1,XN,0,0,M5068ND1    ,1,2,1,2015-10-19 03:34:44,6,130.489
1EJX8ENJ    ,2015-10-20 10:56:38,2015-10-13 17:54:21,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X43A,234901,ARHS36AC,00000000,1,XN,0,0,M504PTQ6    ,1,2,1,2015-10-20 11:35:16,7,161.038
1EJX8ELJ    ,2015-10-20 09:29:21,2015-10-13 16:28:08,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X43C,076900,ARHS36AC,00000000,1,XN,0,0,M50677H7    ,1,2,1,2015-10-20 10:05:18,7,161.020
1EJX8EKJ    ,2015-10-20 06:26:39,2015-10-13 18:00:48,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X438,184301,ARHS36AC,00000000,1,XN,0,0,M50677P0    ,1,2,1,2015-10-20 07:10:14,7,156.431
1EJX8EJJ    ,2015-10-25 23:47:13,2015-10-13 18:03:45,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X435,103401,ARHS36AC,00000000,1,XN,0,0,M505WP23    ,1,2,1,2015-10-26 00:38:42,12,293.724
1EJX8BNJ    ,2015-10-26 06:45:51,2015-10-13 18:15:46,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X434,021501,ARHS36AC,00000000,1,XN,0,0,M505ZC45    ,1,2,1,2015-10-26 07:38:39,13,300.501
1EJX8BLJ    ,2015-10-20 08:56:14,2015-10-13 16:44:05,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LF,58,X43C,026501,ARHS36AC,00000000,1,XN,0,0,M50684C7    ,1,2,1,2015-10-20 09:35:27,7,160.202
1EJX8BJJ    ,2015-10-20 11:00:07,2015-10-13 18:19:43,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,151010A0A0D2D2    10,  10  8,LF,58,X433,162201,ARHS36AC,00000000,1,XN,0,0,M505ZCB3    ,1,2,1,2015-10-20 11:35:16,7,160.673
1EJX89UJ    ,2015-10-20 04:35:18,2015-10-13 16:14:01,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X43A,165900,ARHS36AC,00000000,1,XN,0,0,M5067834    ,1,2,1,2015-10-20 05:00:20,7,156.354
1EJX88UJ    ,2015-10-26 10:38:45,2015-10-13 18:02:45,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X436,042501,ARHS36AC,00000000,1,XN,0,0,M50678C5    ,1,2,1,2015-10-26 11:03:46,13,304.600
1EJX7YNJ    ,2015-10-20 09:10:12,2015-10-13 16:44:01,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43A,015901,ARHS36AC,00000000,1,XN,0,0,M5068A66    ,1,2,1,2015-10-20 09:35:27,7,160.436
1EJX7YMJ    ,2015-10-20 06:54:42,2015-10-13 16:29:06,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LF,58,X43B,026200,ARHS36AC,00000000,1,XN,0,0,M5064P07    ,1,2,1,2015-10-20 07:35:15,7,158.426
1EJX7YLJ    ,2015-10-20 11:37:14,2015-10-13 18:21:37,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X432,011101,ARHS36AC,00000000,1,XN,0,0,M5064TP5    ,1,2,1,2015-10-20 12:05:18,7,161.260
1EJX91VJ    ,2015-10-26 07:14:33,2015-10-13 18:10:34,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X434,141300,ARHS36AC,00000000,1,XN,0,0,M5064TM0    ,1,2,1,2015-10-26 08:03:57,13,301.066
1EJX91PJ    ,2015-10-20 06:27:52,2015-10-13 16:31:09,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X43B,176801,ARHS36AC,00000000,1,XN,0,0,M505SVY2    ,1,2,1,2015-10-20 07:10:14,7,157.945
1EJX91NJ    ,2015-10-19 02:30:49,2015-10-13 16:31:09,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X43B,176800,ARHS36AC,00000000,1,XN,0,0,M50677M4    ,1,2,1,2015-10-19 03:04:52,6,129.994
1EJX91LJ    ,2015-10-20 10:27:06,2015-10-13 18:25:47,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X434,132100,ARHS36AC,00000000,1,XN,0,0,M50685G1    ,1,2,1,2015-10-20 11:05:16,7,160.022
1EJX91KJ    ,2015-10-26 09:16:27,2015-10-13 18:01:42,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LF,58,X435,173200,ARHS36AC,00000000,1,XN,0,0,M50684B6    ,1,2,1,2015-10-26 10:03:42,13,303.246
1EJX91JJ    ,2015-10-20 06:57:44,2015-10-13 18:21:49,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D3D2    10,   0  0,LF,58,X438,214500,ARHS36AC,00000000,1,XN,0,0,M5068NC7    ,1,2,1,2015-10-20 07:35:15,7,156.598
1EJX91HJ    ,2015-10-20 07:37:36,2015-10-13 18:07:48,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D3D2    10,   0  0,LF,58,X438,234501,ARHS36AC,00000000,1,XN,0,0,M5068M90    ,1,2,1,2015-10-20 08:10:13,7,157.496
1EJX91AJ    ,2015-10-20 11:21:26,2015-10-13 18:08:49,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LF,58,X435,202800,ARHS36AC,00000000,1,XN,0,0,M505WPA7    ,1,2,1,2015-10-20 12:05:18,7,161.210
1EJX915J    ,2015-10-26 04:45:20,2015-10-13 18:10:43,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X433,062000,ARHS36AC,00000000,1,XN,0,0,M5064PH8    ,1,2,1,2015-10-26 05:38:36,13,298.577
1EJX913J    ,2015-10-26 04:45:40,2015-10-13 18:27:47,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X438,174300,ARHS36AC,00000000,1,XN,0,0,M5067W26    ,1,2,1,2015-10-26 05:38:36,13,298.298
1EJX910J    ,2015-10-25 23:27:02,2015-10-13 17:54:54,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0D3D2    10,  10  8,LF,58,X435,122600,ARHS36AC,00000000,1,XN,0,0,M5068MR9    ,1,2,1,2015-10-26 00:03:42,12,293.535
1EJX90YJ    ,2015-10-26 08:53:34,2015-10-13 18:02:44,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X436,042500,ARHS36AC,00000000,1,XN,0,0,M5064V52    ,1,2,1,2015-10-26 09:38:44,13,302.847
1EJX90UJ    ,2015-10-20 10:08:30,2015-10-13 18:21:49,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,151010A0A0A2D2    10,  10  8,LF,58,X438,214501,ARHS36AC,00000000,1,XN,0,0,M5068588    ,1,2,1,2015-10-20 10:35:18,7,159.778
1EJX90NJ    ,2015-10-26 03:49:50,2015-10-13 18:06:41,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,1010154040D2Z2    10,  10  8,LF,58,X433,011800,ARHS36AC,00000000,1,XN,0,0,M5065T88    ,1,2,1,2015-10-26 04:38:36,13,297.719
1EJX8VUJ    ,2015-10-26 11:10:31,2015-10-13 18:25:55,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D2A2    10,   0  0,LF,58,X437,024001,ARHS36AC,00000000,1,XN,0,0,M5066WT1    ,1,2,1,2015-10-26 11:33:44,13,304.743
1EJX8U8J    ,2015-10-21 14:52:24,2015-10-14 21:29:36,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43A,145101,ARHS36AC,00000000,1,XN,0,0,M505ZT34    ,1,2,1,2015-10-21 15:36:35,7,161.380
1EJX8SDJ    ,2015-10-20 10:42:09,2015-10-13 17:54:49,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X433,072400,ARHS36AC,00000000,1,XN,0,0,M505ZTF9    ,1,2,1,2015-10-20 11:05:16,7,160.789
1EJX8KYJ    ,2015-10-26 09:39:31,2015-10-13 18:13:49,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X435,023001,ARHS36AC,00000000,1,XN,0,0,M5067LE3    ,1,2,1,2015-10-26 10:03:42,13,303.428
1EJX8KWJ    ,2015-10-20 11:08:34,2015-10-13 18:01:42,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X433,022001,ARHS36AC,00000000,1,XN,0,0,M505ZTL1    ,1,2,1,2015-10-20 11:35:16,7,161.114
1EJX8KVJ    ,2015-10-20 09:58:32,2015-10-13 18:01:48,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X435,022800,ARHS36AC,00000000,1,XN,0,0,M5067WF2    ,1,2,1,2015-10-20 10:35:18,7,159.945
1EJX8KUJ    ,2015-10-20 06:42:57,2015-10-13 16:12:10,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43B,017201,ARHS36AC,00000000,1,XN,0,0,M5068HG4    ,1,2,1,2015-10-20 07:10:15,7,158.513
1EJX8KTJ    ,2015-10-20 08:43:29,2015-10-13 18:01:43,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X432,030501,ARHS36AC,00000000,1,XN,0,0,M505ZV12    ,1,2,1,2015-10-20 09:05:20,7,158.696
1EJX8KSJ    ,2015-10-26 09:08:50,2015-10-13 18:13:49,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X435,023000,ARHS36AC,00000000,1,XN,0,0,M5067KB6    ,1,2,1,2015-10-26 09:38:44,13,302.917
1EJX8KRJ    ,2015-10-20 10:33:00,2015-10-13 18:01:42,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X433,022000,ARHS36AC,00000000,1,XN,0,0,M50673M4    ,1,2,1,2015-10-20 11:05:16,7,160.521
1EJX8KNJ    ,2015-10-20 08:41:13,2015-10-13 16:34:06,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43C,226700,ARHS36AC,00000000,1,XN,0,0,M5068HD8    ,1,2,1,2015-10-20 09:05:20,7,160.118
